Id,Vendor,Product,Version,Type,End-Of-Life
367,Apache Software Foundation,Apache Excalibur 2.2.x,2.2.x,2,-1
368,Apache Software Foundation,Apache Commons Codec 1.x,1.x,2,-1
369,Apache Software Foundation,Apache Traffic Server 3.0.x,3.0.x,2,0
370,Apache Software Foundation,Apache Continuum 1.x,1.x,2,0
371,Apache Software Foundation,Log4net 1.x,1.x,2,-1
372,Apache Software Foundation,Apache Portable Runtime 1.x,1.x,2,-1
373,Apache Software Foundation,Xalan-C++ 10.x,10.x,2,-1
374,Apache Software Foundation,Apache OFBiz 12.x,12.x,2,0
375,Apache Software Foundation,Apache Byte Code Engineering Library (BCEL) 5.x,5.x,2,-1
376,Apache Software Foundation,Apache Geronimo 1.x,1.x,2,-1
377,Apache Software Foundation,Xerces-C++ 2.x,2.x,2,-1
378,Apache Software Foundation,Apache Commons Collections 2.x,2.x,2,0
379,Apache Software Foundation,Apache FOP (Formatting Objects Processor) 0.x,0.x,2,-1
380,Apache Software Foundation,Apache Geronimo 3.0.x,3.0.x,2,0
381,Apache Software Foundation,Apache Thrift 0.x,0.x,2,0
382,Apache Software Foundation,Apache OpenOffice SDK 3.x,3.x,2,0
383,Apache Software Foundation,Apache Commons Lang 3.x,3.x,2,0
384,Apache Software Foundation,Jakarta Standard Taglib 1.1.x,1.1.x,2,-1
385,Apache Software Foundation,Apache Commons JXPath 1.x,1.x,2,-1
386,Apache Software Foundation,Apache Portable Runtime 0.x,0.x,2,-1
387,Apache Software Foundation,Apache Extras for Apache log4j 1.x,1.x,2,0
388,Apache Software Foundation,Apache ODE (Orchestration Director Engine) 1.x,1.x,2,-1
389,Apache Software Foundation,Apache Commons HttpClient 3.x,3.x,2,-1
390,Apache Software Foundation,Apache XML Graphics Commons 1.x,1.x,2,0
391,Apache Software Foundation,Apache Tomcat 5.x,5.x,2,1
392,Apache Software Foundation,Apache Jackrabbit 1.x,1.x,2,-1
393,Apache Software Foundation,Xerces2 Java Parser 2.x,2.x,2,0
394,Apache Software Foundation,Apache CouchDB 0.x,0.x,2,1
395,Apache Software Foundation,scponly 3.x,3.x,2,0
396,Apache Software Foundation,Apache Camel 1.x,1.x,2,1
397,Apache Software Foundation,Apache ZooKeeper 3.x,3.x,2,0
398,Apache Software Foundation,xmltask 1.x,1.x,2,0
399,Apache Software Foundation,Apache OFBiz 9.x,9.x,2,0
400,Apache Software Foundation,Apache Tomcat 1.x,1.x,2,0
401,Apache Software Foundation,Apache Commons Compress 1.x,1.x,2,0
402,Apache Software Foundation,Apache Karaf 2.x,2.x,2,0
403,Apache Software Foundation,Jakarta Standard Taglib 1.0.x,1.0.x,2,-1
404,Apache Software Foundation,Apache Commons IO 1.x,1.x,2,-1
405,Apache Software Foundation,Apache OFBiz 11.x,11.x,2,0
406,Apache Software Foundation,Apache Tomcat JK Web Server Connector 1.x,1.x,2,-1
407,Apache Software Foundation,Apache Subversion 1.x,1.x,2,0
408,Apache Software Foundation,Apache APR-util 0.x,0.x,2,-1
409,Apache Software Foundation,Apache Directory Studio 1.x,1.x,2,0
410,Apache Software Foundation,Apache Commons BeanUtils 1.x,1.x,2,-1
411,Apache Software Foundation,Apache POI 3.x,3.x,2,-1
412,Apache Software Foundation,Apache WSS4J 1.x,1.x,2,0
413,Apache Software Foundation,Apache HBase 0.x,0.x,2,0
414,Apache Software Foundation,Apache Sling Servlets Post Component 2.x,2.x,2,0
